model;description
0570;Decorative colourful kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0571;Decorative naturel kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0573;Decorative colorful kilim patchwork made from handwoven kilim pieces and backed with good quality cotton fabric as reinforcement. In very good condition. Rare find, Unique handmade item.
0576;Handknotted vintage rug from Konya region of Turkey.In very good condition.Approximately 50-60 years old.
0578;Unique designed vintage art deco rug from Isparta region of Turkey.In very good condition.Approximately 50-60 years old.
0583;Vintage rag runner from Adana region of Turkey.In good condition.Approximately 40-50 years old.
0591;Striped rag rug from Adana region of Turkey.In good condition.Approximately 40-50 years old.
0592;Vintage rug rug from Adana region of Turkey.In good condition.Approximately 40-50 years old.
0593;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 40-50 years old Rare find, Unique handmade item.
0594;Vintage runner rug from Adana region of Turkey.In good condition.Approximately 40-50 years old.
0595;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0596;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0600;Vintage kilim runner from Adana region of Turkey.In good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0603;Vintage runner rug from Denizli region of Turkey.In good condition.Approximately 45-55 years old.
0604;Vintage kilim rug from Kars region of Turkey.In very good condition.Approximaley 55-65 years old Rare find, Unique handmade item.
0606;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0608;Vintage kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0609;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 40-50 years old Rare find, Unique handmade item.
0611;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 40-50 years old Rare find, Unique handmade item.
0613;Vintage kilim rug from Adana region of Turkey.In very good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0615;Vintage embroidered kilim rug from Adana region of Turkey.In good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0617;Vintage kilim rug from Adana region of Turkey.In good condition.Aprroximately 50-60 years old.
0618;Vintage kilim rug from Adana region of Turkey.In very good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0619;Vintage modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0622;Vintage embroidered cotton kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0623;Vintage modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old.
0624;Vintage modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0626;Vintage modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0630;Vintage rag rug from Sivas region of Turkey.In good condition.Approximately 25-35 years old Rare find, Unique handmade item.
0631;Vintage orange kilim rug from Adana region of Turkey.In very good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0637;Vintage modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0640;Vintage striped kilim rug from Fethiye region of Turkey.In good condition.Approximately 45-55 years old Rare find, Unique handmade item.
0642;Vintage kilim rug from Antalya region of Turkey.In very good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0643;Handwoven striped kilim rug from Fethiye region of Turkey.In good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0650;Vintage colorful kilim rug from Afyon region of Turkey.In good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0653;Vintage art deco rug from Isparta region of Turkey.In very good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0654;Handknotted vintage runnerrug from Sivas region of Turkey.In very good condition.Approximately 55-65 years old Rare find, Unique handmade item.
0657;Vintage decorative area rug from Konya region of Turkey.In good condition.Approximately 50-60 years old.
0661;Vintage rug from Konya region of Turkey.In good condition.Approximately 50-60 years old.
0666;Vintage kilim runner from Denizli region of Turkey.In good condition.Approximatelly 35-45 years old.
0667;Handknotted vintage carpet from Konya region of Turkey.In good condition.Approximatelly 40-50 years old.
0668;Handwoven vintage colorful kilim rug from Afyon region of Turkey.In good condition.Approximatelly 45-55 years old.
0673;Vintage modern rag rug from Adana region of Turkey.In good condition.Approximatelly 45-55 years old.
0674;Vintage kilim rug from Denizli region of Turkey.In good condition.Approximatelly 45-55 years old.
0678;Handwoven vintage kilim rug from Denizli region of Turkey.In good condition.Approximatelly 45-55 years old.
0681;Handwoven decorative kilim runner from Kars region of Turkey.In good condition.Approximatelly 45-55 years old.
0684;Vintage faded kilim rug from Antalya region of Turkey.In good condition.Approximatelly 45-55 years old.
0685;Vintage naturel kilim runner from Malatya region of Turkey.In good condition.Approximatelly 50-60 years old.
0687;Vintage embroidered kilim rug from Adana region of Turkey.In good condition.Approximatelly 50-60 years old.
0688;Vintage kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0689;Handwoven decorative kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0695;Handwoven modern kilim rug from Adana region of Turkey.In very good condition.Approximately 45-55 years old.
0700;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0704;Vintage kilim rug from Malatya region of Turkey.In good condition.Approximately 45-55 years old.
0705;Handwoven kilim rug from Adana region of Turkey.In good condition.Approximatelly 45-55 years old Rare find, Unique handmade item.
0708;Handwoven vintage kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0710;Handwoven striped kilim rug from Malatya region of Turkey.In good condition.Approximately 50-60 years old Rare find, Unique handmade item.
0712;Handwoven striped kilim rug from Malatya region of Turkey. In good condition.Approximately 35-45 years old Rare find, Unique handmade item.
0714;Vintage decorative rag rug from Adana region of Turkey.In good condition.Approximatelly 45-55 years old.
0715;Handwoven striped kilim rug from Malatya region of Turkey.In good condition.Approximately 45-55 years old.
0716;Handwoven brown kilim rug from Afyon region of Turkey.In good condition.Approximately 45-55 years old.
0718;Decorative striped kilim rug from Malatya region of Turkey.In very good condition.Approximatelly 45-55 years old.
0719;Handwoven kilim rug from Adana region of Turkey.In good condition.Approximatelly 50-60 years old.
0720;Handwoven kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0722;Handwoven kilim rug from Malatya region of Turkey.In good condition.Approximately 50-60 years old.
0723;Handwoven kilim rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0724;Decorative rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0726;Vintage rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0727;Vintage chaput rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0728;Handwoven striped rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0729;Decorative rag rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
0730;Vintage striped runner rug from Adana region of Turkey.In good condition.Approximately 45-55 years old.
